asn,filtering,confidence,source,category
52000,unknown,0.0141,APNIC,
52000,unknown,1.0,Friends,7
52000,unknown,0.87096775,ROVISTA,
35415,unknown,0.0127,APNIC,
26464,unknown,0.0123,APNIC,
60781,unknown,0.0113,APNIC,
60781,unknown,9.9,Friends,5
49981,unknown,0.009899999999999999,APNIC,
41436,unknown,0.0083,APNIC,
41436,unknown,0.9677419,ROVISTA,
209181,unknown,0.0083,APNIC,
199524,unknown,0.0046,APNIC,
50673,unknown,0.004,APNIC,
50673,unknown,9.9,Friends,4
56630,unknown,0.0034000000000000002,APNIC,
5390,unknown,0.0016,APNIC,
31615,unknown,0.0012,APNIC,
15542,unknown,0.0003,APNIC,
50266,unknown,0.0003,APNIC,
50266,unknown,1.0,Friends,6
15435,unknown,0.0001,APNIC,
53536,unknown,1.0,APNIC,
53536,unknown,1.0,ROVISTA,
400381,unknown,1.0,APNIC,
399823,unknown,1.0,APNIC,
18516,unknown,1.0,APNIC,
21902,unknown,1.0,APNIC,
21902,unknown,1.0,ROVISTA,
31758,unknown,1.0,APNIC,
17135,unknown,1.0,APNIC,
17135,unknown,0.61290324,ROVISTA,
14773,unknown,1.0,APNIC,
14773,unknown,1.0,ROVISTA,
53832,unknown,1.0,APNIC,
53832,unknown,1.0,ROVISTA,
22018,unknown,1.0,APNIC,
35985,unknown,1.0,APNIC,
63483,unknown,1.0,APNIC,
63483,unknown,0.9677419,ROVISTA,
26661,unknown,1.0,APNIC,
26661,unknown,1.0,ROVISTA,
13649,unknown,1.0,APNIC,
13649,unknown,1.0,ROVISTA,
400391,unknown,1.0,APNIC,
54639,unknown,1.0,APNIC,
21508,unknown,1.0,APNIC,
21508,unknown,1.0,ROVISTA,
7871,unknown,1.0,APNIC,
7871,unknown,0.9354838999999999,ROVISTA,
393444,unknown,1.0,APNIC,
395439,unknown,1.0,APNIC,
395439,unknown,0.96153843,ROVISTA,
26488,unknown,1.0,APNIC,
1415,unknown,1.0,APNIC,
1415,unknown,1.0,ROVISTA,
36180,unknown,1.0,APNIC,
196,unknown,1.0,APNIC,
196,unknown,1.0,ROVISTA,
22394,unknown,1.0,APNIC,
22394,unknown,0.9677419,ROVISTA,
19021,unknown,1.0,APNIC,
19021,unknown,1.0,ROVISTA,
6368,unknown,1.0,APNIC,
55230,unknown,1.0,APNIC,
33491,unknown,1.0,APNIC,
13795,unknown,1.0,APNIC,
13795,unknown,0.8064516,ROVISTA,
10423,unknown,1.0,APNIC,
10423,unknown,1.0,ROVISTA,
1410,unknown,1.0,APNIC,
1410,unknown,1.0,ROVISTA,
26864,unknown,1.0,APNIC,
26864,unknown,1.0,ROVISTA,
62654,unknown,1.0,APNIC,
29946,unknown,1.0,APNIC,
29946,unknown,1.0,ROVISTA,
33425,unknown,1.0,APNIC,
26088,unknown,1.0,APNIC,
26088,unknown,1.0,ROVISTA,
33635,unknown,1.0,APNIC,
33635,unknown,1.0,ROVISTA,
63062,unknown,1.0,APNIC,
15130,unknown,1.0,APNIC,
15130,unknown,1.0,ROVISTA,
62658,unknown,1.0,APNIC,
62658,unknown,1.0,ROVISTA,
13351,unknown,1.0,APNIC,
13351,unknown,0.6451613,ROVISTA,
39486,unknown,1.0,APNIC,
46273,unknown,1.0,APNIC,
46273,unknown,1.0,ROVISTA,
399377,unknown,1.0,APNIC,
395139,unknown,1.0,APNIC,
797,unknown,1.0,APNIC,
797,unknown,1.0,ROVISTA,
16564,unknown,1.0,APNIC,
18793,unknown,1.0,APNIC,
18793,unknown,1.0,ROVISTA,
4043,unknown,1.0,APNIC,
398571,unknown,1.0,APNIC,
400674,unknown,1.0,APNIC,
55193,unknown,1.0,APNIC,
40128,unknown,1.0,APNIC,
40128,unknown,1.0,ROVISTA,
141039,unknown,1.0,APNIC,
47095,unknown,1.0,APNIC,
47095,unknown,1.0,ROVISTA,
11624,unknown,1.0,APNIC,
7332,unknown,1.0,APNIC,
7332,unknown,0.87096775,ROVISTA,
35847,unknown,1.0,APNIC,
35847,unknown,1.0,ROVISTA,
22413,unknown,1.0,APNIC,
22413,unknown,1.0,ROVISTA,
22968,unknown,1.0,APNIC,
22968,unknown,0.6451613,ROVISTA,
13342,unknown,1.0,APNIC,
13342,unknown,1.0,ROVISTA,
3598,unknown,1.0,APNIC,
3598,unknown,1.0,ROVISTA,
32806,unknown,1.0,APNIC,
32806,unknown,1.0,ROVISTA,
10392,unknown,1.0,APNIC,
10392,unknown,0.87096775,ROVISTA,
33178,unknown,1.0,APNIC,
400404,unknown,1.0,APNIC,
21577,unknown,1.0,APNIC,
21577,unknown,1.0,ROVISTA,
32234,unknown,1.0,APNIC,
21743,unknown,1.0,APNIC,
54548,unknown,1.0,APNIC,
11050,unknown,1.0,APNIC,
11050,unknown,0.4516129,ROVISTA,
7015,unknown,1.0,APNIC,
7015,unknown,1.0,ROVISTA,
32264,unknown,1.0,APNIC,
32264,unknown,1.0,ROVISTA,
63103,unknown,1.0,APNIC,
63103,unknown,0.9354838999999999,ROVISTA,
62968,unknown,1.0,APNIC,
11118,unknown,1.0,APNIC,
10430,unknown,1.0,APNIC,
10594,unknown,1.0,APNIC,
10594,unknown,1.0,ROVISTA,
2495,unknown,1.0,APNIC,
2495,unknown,1.0,ROVISTA,
33623,unknown,1.0,APNIC,
33623,unknown,1.0,ROVISTA,
19058,unknown,1.0,APNIC,
19058,unknown,1.0,ROVISTA,
54239,unknown,1.0,APNIC,
11589,unknown,1.0,APNIC,
11589,unknown,1.0,ROVISTA,
36794,unknown,1.0,APNIC,
3131,unknown,1.0,APNIC,
26721,unknown,1.0,APNIC,
26721,unknown,0.2580645,ROVISTA,
46790,unknown,1.0,APNIC,
46790,unknown,1.0,ROVISTA,
399356,unknown,1.0,APNIC,
40772,unknown,1.0,APNIC,
46147,unknown,1.0,APNIC,
46147,unknown,0.83870965,ROVISTA,
36069,unknown,1.0,APNIC,
36114,unknown,1.0,APNIC,
36114,unknown,0.09677419000000001,ROVISTA,
266841,unknown,1.0,APNIC,
19751,unknown,1.0,APNIC,
19751,unknown,0.7419355,ROVISTA,
398242,unknown,1.0,APNIC,
